title,article
Opinion: The Supreme Court’s Fifth Amendment Reclamation," The Supreme Court’s first term with a new majority is proving to be far more consequential than many Court-watchers anticipated, and in a good way. Long-dormant constitutional principles—such as the nondelegation doctrine—are being debated anew, and core rights are being refortified according to their original meaning. On Friday in Knick v. Township of Scott, this constitutional revival project reached the Fifth Amendment ban on government takings of private property. A majority composed of the High Court’s conservatives voted...   "
Opinion: Trump-Haley in 2020," I’m proud to have founded the Democrats for Trump movement in 2016. President Trump’s pro-growth policies have revived the stagnating U.S. economy, and he deserves a second term. But to have the best chance of re-election, he should replace Vice President Mike Pence on the ticket with Nikki Haley. I mean no disrespect for Mr. Pence, who’s loyally served the president and the nation. But he’s given Mr. Trump all the help he can. He inspired his fellow evangelical Christians to take a chance in 2016. But in 2020 they’ll already...   "
Oregon Capitol Closed After Threats From Militia Groups," SALEM, Ore.—Law-enforcement officials closed the state Capitol on Saturday, following threats from militia groups that were made while a partisan showdown has halted all activity in the Oregon Senate.  “The State Police Superintendent just informed the Senate president of a credible threat from militia groups coming to the Capitol tomorrow,” read a text sent out to senators on Friday that was shared with The Wall Street Journal. “The Superintendent strongly recommends that no one come to the Capitol.”...   "
Opinion: An Obama Housing Bust," In case you missed it, Quicken Loans this month agreed to pay a token $32 million to settle a dubious housing lawsuit initiated by the Obama Justice Department. The real scandal is how the Obama Administration extracted billions from mortgage lenders for sloppy underwriting on government-insured loans while loosening loan standards and setting up taxpayers for losses. In 2015 the Justice Department sued Quicken under the False Claims Act for originating government-insured loans that allegedly didn’t comply with Federal Housing...   "
"Wait, Where Did Our New Hire Go?"," In case you missed it, Quicken Loans this month agreed to pay a token $32 million to settle a dubious housing lawsuit initiated by the Obama Justice Department. The real scandal is how the Obama Administration extracted billions from mortgage lenders for sloppy underwriting on government-insured loans while loosening loan standards and setting up taxpayers for losses. In 2015 the Justice Department sued Quicken under the False Claims Act for originating government-insured loans that allegedly didn’t comply with Federal Housing...   "
About the Newsroom," In case you missed it, Quicken Loans this month agreed to pay a token $32 million to settle a dubious housing lawsuit initiated by the Obama Justice Department. The real scandal is how the Obama Administration extracted billions from mortgage lenders for sloppy underwriting on government-insured loans while loosening loan standards and setting up taxpayers for losses. In 2015 the Justice Department sued Quicken under the False Claims Act for originating government-insured loans that allegedly didn’t comply with Federal Housing...   "
Opinion: Trump-Haley in 2020," I’m proud to have founded the Democrats for Trump movement in 2016. President Trump’s pro-growth policies have revived the stagnating U.S. economy, and he deserves a second term. But to have the best chance of re-election, he should replace Vice President Mike Pence on the ticket with Nikki Haley. I mean no disrespect for Mr. Pence, who’s loyally served the president and the nation. But he’s given Mr. Trump all the help he can. He inspired his fellow evangelical Christians to take a chance in 2016. But in 2020 they’ll already...   "
Opinion: An Obama Housing Bust," In case you missed it, Quicken Loans this month agreed to pay a token $32 million to settle a dubious housing lawsuit initiated by the Obama Justice Department. The real scandal is how the Obama Administration extracted billions from mortgage lenders for sloppy underwriting on government-insured loans while loosening loan standards and setting up taxpayers for losses. In 2015 the Justice Department sued Quicken under the False Claims Act for originating government-insured loans that allegedly didn’t comply with Federal Housing...   "
"Wait, Where Did Our New Hire Go?"," In case you missed it, Quicken Loans this month agreed to pay a token $32 million to settle a dubious housing lawsuit initiated by the Obama Justice Department. The real scandal is how the Obama Administration extracted billions from mortgage lenders for sloppy underwriting on government-insured loans while loosening loan standards and setting up taxpayers for losses. In 2015 the Justice Department sued Quicken under the False Claims Act for originating government-insured loans that allegedly didn’t comply with Federal Housing...   "
Oregon Capitol Closed After Threats From Militia Groups," SALEM, Ore.—Law-enforcement officials closed the state Capitol on Saturday, following threats from militia groups that were made while a partisan showdown has halted all activity in the Oregon Senate.  “The State Police Superintendent just informed the Senate president of a credible threat from militia groups coming to the Capitol tomorrow,” read a text sent out to senators on Friday that was shared with The Wall Street Journal. “The Superintendent strongly recommends that no one come to the Capitol.”...   "
About the Newsroom," SALEM, Ore.—Law-enforcement officials closed the state Capitol on Saturday, following threats from militia groups that were made while a partisan showdown has halted all activity in the Oregon Senate.  “The State Police Superintendent just informed the Senate president of a credible threat from militia groups coming to the Capitol tomorrow,” read a text sent out to senators on Friday that was shared with The Wall Street Journal. “The Superintendent strongly recommends that no one come to the Capitol.”...   "
Opinion: The Supreme Court’s Fifth Amendment Reclamation," The Supreme Court’s first term with a new majority is proving to be far more consequential than many Court-watchers anticipated, and in a good way. Long-dormant constitutional principles—such as the nondelegation doctrine—are being debated anew, and core rights are being refortified according to their original meaning. On Friday in Knick v. Township of Scott, this constitutional revival project reached the Fifth Amendment ban on government takings of private property. A majority composed of the High Court’s conservatives voted...   "
Chewy Shares Surge in Market Debut," Online pet-products seller Chewy Inc. posted strong gains in its market debut Friday, reflecting continued strength in initial public offerings of e-commerce companies despite some high-profile stumbles among consumer-technology firms. Chewy’s stock opened at $36 a share, up 64% from its IPO price of $22 a share. At $36 a share, Chewy’s stock market valuation was roughly $14.3 billion.  The...   "
," Joe Lonsdale, a co-founder of Palantir Technologies Inc., poured cold water on speculation about the business’s initial public offering The 16-year-old data analysis company is likely years away from going public, said Mr. Lonsdale, who also serves as an adviser to the company but isn’t involved in Palantir’s day-to-day operations.  “I’d love...   "
Stocks Climb Ahead of Central-Bank Meetings," U.S. stocks edged higher ahead of central bank policy meetings around the world as investors continue to bet the Federal Reserve will slash interest rates this year.  Investors have ramped up expectations of interest-rate cuts in recent weeks. They will be watching the Fed meeting concluding Wednesday for clues on how central bankers will proceed, which will have wide-ranging implications across stock, bond and currency markets. The Bank of Japan and Bank of England also meet this week....   "
Stocks Slip Amid Middle East Tensions," U.S. stocks meandered lower in quiet trading Friday as tepid economic data and rising tensions in the Middle East added to concerns over growth and trade. The Dow Jones Industrial Average slipped 17.16 points, or 0.1%, to 26089.61, while the S&P 500 lost 4.66 points, or 0.2%, to 2886.98 and Nasdaq Composite fell 40.47, or 0.5%, to 7796.66. The declines mark a pause in what has otherwise been a strong start to June, and all three indexes logged gains for the week. The Dow industrials are up 0.4% this week, while the S&P...   "
"Tyson Foods, Boeing, Slack: Stocks That Defined The Week","  The S&P 500 surged to a record Thursday, as major indexes rallied this past week after the Federal Reserve hinted Wednesday of possible interest-rate cuts if the economic outlook doesn’t improve.    The Dow Jones Industrial Average gained 2.4% to 26,719.13 on the week. The S&P 500 added 2.2%, closing at 2,950.46, and the Nasdaq Composite rose 3% to 8,031.71.   ...   "
China’s Dalian Wanda Plans Singapore REIT Listing," Chinese conglomerate Dalian Wanda Group is planning to list a real-estate business in Singapore, in a deal that could value that collection of properties at more than $1 billion, people with knowledge of the matter said.  Dalian Wanda is owned by one of China’s richest men, Wang Jianlin. His company owns shopping malls, plazas and hotels in China, as well as cinema chains in the U.S., Australia and Northern Europe, and British luxury motor-yacht maker Sunseeker International. ...   "
Blame Brexit for Carnival’s Sinking Shares, Cruise operator Carnival Corp. was the worst performer in the S&P 500 on Thursday. One little-noticed culprit: Brexit. The U.K.’s on-again-off-again exit from the European Union has rattled the region’s economy and put consumers there on edge. That makes it tougher for Carnival to attract local customers to those cruise routes....   
