title,article
Bitcoin Tech Analysis – Recap and Mid-Day Review – 04/07/19," Bitcoin rallied by 10.09% on Wednesday. Following on from a 2.29% gain on Tuesday, Bitcoin ended the day at $11,983. A bullish start to the day set the tone, with Bitcoin on the move from the start of the day. Bitcoin rallied from an intraday low $10,876 to a mid-morning high $11,584. The moves through the early hours saw Bitcoin break through the 23.6% FIB of $11,275 and the first major resistance level at $11,762.87. A pullback to sub-$11,000 levels by late morning saw Bitcoin steer clear of the first major support level at $10,087.13 before a late rally. The late rally saw Bitcoin break back through the 23.6% FIB of $11,275, first major resistance level at $11,323.93, and second major resistance level at $11,762.87 to hit an intraday high $12,025. Resistance at $12,000 limited the upside on the day. The Bitcoin rally led to Bitcoin’s dominance rising back to 62% levels. Bitcoin’s market cap jumped to a Wednesday high $213.5bn before easing back. Bitcoin ultimately provided support to the broader crypto market, leading the majors into positive territory on the day. For the Bitcoin bulls, the near-term bullish trend, formed at mid-December’s swing lo $3,215.2 remained intact. Bitcoin continued to find support at the 23.6% FIB of $11,275. Wednesday’s rally was another day of correlation with the more mature markets. The rally kicked in well ahead of economic data out of the U.S, however. Weak U.S stats continued to support the FED’s projected rate cut later in the day year. While the cheaper cost of funds is a boon for riskier assets, the current interest rate environment continues to be supportive. A negative for Bitcoin and the broader market continues to be the prospect of a material shift in the regulatory landscape. There’s also the pending SEC decisions on the Bitcoin ETFs to consider. The recent volatility across the broader market has come at the wrong time for those hoping for Bitcoin ETFs to be approved. The good news, however, is the fact that there have been no headline cases of exchanges being hacked… Another piece of good news is the fact that the planned launch of Facebook’s Libra has done no damage just yet… At the time of writing, Bitcoin was down by 1.63% to $11,787. In the early part of the day, Bitcoin rose to a start of a day high $12,065 before hitting reverse. Falling short of the first major resistance level at $12,379.33, Bitcoin fell back to a late morning low $11,503. Steering clear of the 23.6% FIB of $11,275 and first major support level at $11,230.33, Bitcoin moved back through to $11,700 levels. For the Bitcoin bulls, $12,000 looks to be the line in the sand. A hold onto $11,700 levels through the early afternoon would support a move back through to $11,900 levels. Bitcoin would need the support of the broader market, however, to break out from this morning’s high $12,065. In the event of a breakout, the first major resistance level at $12,379.33 would come into play before any pullback. Failure to hold onto $11,700 levels could see Bitcoin slide back through the 23.6% FIB of $11,275. Barring an extended sell-off through the afternoon, the first major support level at $11,230.33 should limit the downside. In the event of a sell-off, expect a return to sub-$11,000 levels before finding support. The article was written by Bharat Gohri, Chief Market Analyst at easyMarkets This article was originally posted on FX Empire"
"Bitcoin Cash – ABC, Litecoin and Ripple Daily Analysis – 03/07/19"," Bitcoin Cash ABC fell by 2.59% on Tuesday. Partially reversing a 4.11% gain from Monday, Bitcoin Cash ABC ended the day at $408.02. A bearish start to the day saw Bitcoin Cash ABC fall from an early intraday high $418.87 to a late morning intraday low $383.16. Falling well short of the major resistance levels, Bitcoin Cash ABC fell through the 23.6% FIB of $418 and the first major support level at $394.38. Finding support through the afternoon, Bitcoin Cash ABC recovered to $400 levels to limit the loss on the day. In spite of the partial recovery, Bitcoin Cash ABC was unable to move back through the 23.6% FIB… At the time of writing, Bitcoin Cash ABC was up by 1.1% to $412.50. A bullish start to the day saw Bitcoin Cash ABC rise from a morning low $408.41 to a high $418.0. Whilst falling short of the first major resistance level at $423.54, the 23.6% FIB of $418 continued to limit progress. For the day ahead, Bitcoin Cash ABC would need to steer clear of sub-$410 levels to support another run at the first major resistance level at $423.54. Bitcoin Cash ABC would need the support of the broader market, however, to break out from the 23.6% FIB of $418. An extended crypto rally through the day could see Bitcoin Cash ABC test the second major resistance level at $439.06. Failure to avoid sub-$410 levels could see Bitcoin Cash ABC slide back through to sub-$400 levels. Barring a broad-based crypto sell-off, the first major support level at $387.87 should limit any downside on the day. Litecoin slid by 3.26% on Tuesday. Reversing a 0.42% gain from Monday with interest, Litecoin ended the day at $118.59. A particularly bearish morning saw Litecoin slide from an intraday high $123.41 to a mid-morning intraday low $111.2. The reversal saw Litecoin slide through the 23.6% FIB of $117 and the first major support level at $114.94. Finding support through the afternoon, Litecoin managed a brief return to $120 levels before easing back. The 23.6% FIB proved to be the resistance line on the day. At the time of writing, Litecoin was up by 1.63% to $120.52. A bullish start to the day saw Litecoin rise from a morning low $118.54 to a high $123.16 before easing back. Litecoin left the major support and resistance levels untested and also held above the 23.6% FIB of $117. For the day ahead, a hold above the 23.6% FIB of $117 through the morning would support a bullish day ahead. A move back through the morning high $123.16 would bring the first major resistance level at $124.27 into play. Barring a broad-based crypto rally, Litecoin would likely see any upside capped at $126 levels on the day. Failure to hold above the 23.6% FIB of $117 could see Litecoin test the first major support level at $112.06 before any recovery. Barring a crypto sell-off later in the day, Litecoin should steer clear of sub-$110 support levels on the day. Ripple’s XRP fell by 1.98% on Tuesday. Partially reversing a 3.4% gain from Monday, Ripple’s XRP ended the day at $0.39991. Tracking the broader market, Ripple’s XRP fell from an early intraday high $0.41187 to a late morning intraday low $0.38414. Falling well short of the major resistance levels, Ripple’s XRP fell through the first major support level at $0.3922. Recovery through the afternoon saw Ripple’s XRP return to $0.4040 levels before sliding back to sub-$0.40 levels. At the time of writing, Ripple’s XRP was up by 0.74% to $0.40288. Tracking the broader market, Ripple’s XRP rose from a morning low $0.39989 to a high $0.40711 before easing back. Ripple’s XRP left the major support and resistance levels untested early on and also fell short of the 23.6% FIB of $0.4164. For the day ahead, a hold onto $0.40 levels through the morning would support further gains later in the day. A move back through the morning high $0.40711 would bring the first major resistance level at $0.4131 into play. Ripple’s XRP would need the support of the broader market, however, to break through the 23.6 % FIB of $0.4164. Barring a broad-based crypto rally, Ripple’s XRP would likely come up short of $0.42 levels on the day. Failure to move back through the morning high $0.40711 could see Ripple’s XRP hit reverse. A fall through to sub-$0.40 levels would bring the first major support level at $0.3854 into play before any recovery. Barring a crypto meltdown, Ripple’s XRP should steer clear of sub-$0.38 support levels on the day. Please let us know what you think in the comments below Thanks, Bob This article was originally posted on FX Empire"
The Crypto Daily – The Movers and Shakers 03/07/19," Bitcoin continued its trend-bucking form on Tuesday to end a string of losses at the turn of the quarter. Bitcoin rose by 2.29% on Tuesday. Reversing a 1.48% fall from Monday, Bitcoin ended the day at $10,885. A bearish start to the day saw Bitcoin slide from a morning high $10,719 to a late morning intraday low $9,728.2. Falling short of the major resistance levels, Bitcoin fell through the first major support level at $10,075 to test support at the 38.2% FIB of $9,734 before bouncing back. Rallying through the afternoon, Bitcoin struck a late intraday high $10,965 before easing back. In spite of the afternoon rally, Bitcoin fell well short of the first major resistance level at $11,218. It was Bitcoin’s first visit to sub-$10,000 levels since 21st June. Across the rest of the top 10 cryptos, it was a sea of red across the crypto-board. Leading the way down was Binance Coin, which slid by 3.65%. Also seeing heavy losses were Litecoin (-3.26%), Tron (-2.89%), Bitcoin Cash ABC (-2.59%), and EOS (-2.37%). Ethereum and Bitcoin Cash SV saw more modest losses of 0.84% and 0.48% respectively. For Stellar’s Lumen, things haven’t improved since falling out of the top ten with a 2.16% loss on the day. With Bitcoin bucking the trend to see green on the day, Bitcoin’s dominance moved back to 61% levels. The total crypto market cap recovered from sub-$290 levels on Tuesday to end the day at $313.2bn. At the time of writing, Bitcoin was up by 2.73% to $11,182 as the bulls look to restore order. Moves within the first hour saw Bitcoin rise from a low $10,876 to a high $11,200 before easing back. While leaving the major support and resistance levels untested early on, Bitcoin came within range of the 23.6% FIB of $11,275. Elsewhere, it was a mixed start to the day for the majors. Ethereum tracked Bitcoin early on, with a 1.01% gain. Tron (+0.94%), Bitcoin Cash SV (+1.03%), and Litecoin (+1.18%) also made solid gains. Bucking the trend in the early hours, however, was Binance Coin with a 0.31% loss. Bitcoin would need to move through the 23.6% FIB of $11,257 to bring the first major resistance level at $11,323.93 into play. Having failed to touch $11,000 levels on Tuesday, the early move should support a bullish day ahead. An early break through the first major resistance level would bring $11,500 levels into play. Bitcoin would need the support of the broader market, however, to take a run at the second major resistance level at $11,762.87. Failure to move through the 23.6% FIB could see Bitcoin hit reverse. A fall back through to $10,500 levels would bring the first major support level at $10,087.13 into play. Barring a crypto meltdown, Bitcoin should steer clear of sub-$10,000 support levels on the day. Get Into Cryptocurrency Trading Today This article was originally posted on FX Empire"
Andreas Antonopoulos wants people to stick with crypto," In a recent interview on London Real, the Bitcoin and open blockchain advocate Andreas Antonopoulos talked about the wrong type of people entering the digital asset economy, and why many end up staying for different reasons other than price. On the topic of the many hype-based cryptocurrency projects we see today, Antonopoulos said that the industry sometimes attracts the wrong type of crowd into the ecosystem. “It attracts scammers, opportunists, pump and dumpers, and pyramid schemes, and the ICO market enabled a lot of those people to make their own coins.” Andreas said that one of the reasons the ICO craze happened was because Ethereum made it easy for people to build a scalable, secure, transferable, and censorship-resistant blockchain “just by writing 20 lines of code”. But the Mastering Ethereum author said that in the first 2017 wave of mania, people used these newly-created programmable blockchains “to build platforms to do massive pump and dumps” instead of building projects focused on privacy and censorship resistance. However, he did mention that in the long run, “if you can fund start-ups with an international pool of investors, that can change the investment fields”. FOMO is in the air. Newbies are joining the cryptocurrency space and falling prey to scammers.  Please educate your friends and family:– Promises of profit are 100% ponzi– Request to ""recruit"", ""affiliate"" etc are 100% pyramid schemes– ICO/IEO are 99.99% pump-and-dump — Andreas M. Antonopoulos (@aantonop) June 20, 2019  Regarding the parabolic rises and falls of many crypto assets, Andreas said that “nothing goes exponential without going down”, and that Bitcoin has done this eight times already as “that’s how it grows”. “The reason it grows like this is that there isn’t much in terms of short pressure to hold it down,” he said. “If you’ve got something that has limited supply and you suddenly have a speculative mania that blows up, it will continue to go up in a straight line, which only further fuels the mania. “Until it reaches a point where there simply isn’t anybody else who feels just as enthusiastic and it pauses for a second, the panic just drives [the price] down.” Andreas said that there’s “no difference between speculators and investors” and that they’re just speculating with a different risk profile, with some of them doing so “with very little research and information”. He said that the reason this is bad is that “a lot of good, innocent, and slightly naive people lost a lot of money” and had their lives destroyed because of this. This has a negative effect “as it changes the community” and “causes damage to the community”. “You have a lot of drama that comes up when there’s money on the table – people’s personalities change.” He said that people start taking shortcuts and their ethics become compromised – “power corrupts, money corrupts”. Andreas said that the majority of people first got involved in crypto most likely “because they heard that it’s some kind of investment opportunity”. He made the case that even though many of these people may have first entered the space “because of speculation and mania”, the people who were only motivated by price left during the 2018 crash, with those who stayed “finding other motivations”. He claimed some of the reasons why people stay is because they like the community, they understand the technology, and they may even be “driven by the political implications”. To those people, Andreas said: “Welcome, you may have come because you want to get rich – that’s okay. Now let me tell you about why you should stay because of the technology even after the price crashes.”   The post Andreas Antonopoulos wants people to stick with crypto appeared first on Coin Rivet."
Is Libra crypto’s best gateway drug to date?," It turned out to be true. The rumours and speculation that arose when Facebook began advertising job openings for blockchain engineers were right. Facebook’s first foray into cryptocurrency is coming – first dubbed ‘Facebook Coin’, then ‘Global Coin’, and now officially announced as Libra with the release of the white paper. The way the white paper reads reminds me a lot of Stellar Lumens and what it is aiming to accomplish. Facebook could have just built on top of Stellar, but it likely saw too little profit and too little control with that approach. The approach Facebook is taking is to invite 100 organisations to become members of the Libra Association. The social media giant is also charging $10 million for the privilege of running a node on the network to validate transactions. Like Stellar, the Libra Association is a non-profit organisation, the purpose of which is to coordinate activity relating to the growth of the Libra ecosystem. The founding members are listed in the white paper and feature many household names such as PayPal, Visa, Mastercard, eBay, and Uber. It’s at this point we have another instance of something I mentioned in a previous article. In that post, I mentioned how the masses are not interested in investing a lot of time researching and thinking about new technologies in order to derive trust from understanding. They much prefer to wait for a signal from an organisation they see as an authority and just assume that organisation has done the research and thinking for them. This is principally why I ask whether Libra will become the best gateway drug for the existing cryptocurrency industry. More than two billion users log in to Facebook each day. With a bank of attention like that, Facebook can jump to the front of the line of advertisers and provide instant exposure to any new feature or product. The minimal amount of effort born out of it being integrated with Facebook avoids the apathy that has no doubt hindered Bitcoin adoption among Facebook users. If you think back to another one of my articles about the new Voice social network, you may notice that they share a similar obstacle – the requirement to verify your identity. The conflict I see there with Libra is that it is designed for financial inclusion but will struggle to verify the identity of people in countries that don’t have a working government ID system that is digital. There is however a part of the white paper that states: “The Libra Blockchain is pseudonymous and allows users to hold one or more addresses that are not linked to their real-world identity.” So we will have to see how that manifests in the final product. The big question is this: how close to the original white paper will Libra end up being? The US Congress is already calling for Facebook to slow down if not stop development of Libra until they have had a chance to get their head around it and determine what kind of risks it poses to consumers. It is likely that the original vision for Libra will become diluted by regulation before it is launched. Keep your eye on the headlines for news on how this develops. A gateway drug is what we call something that is a mild introduction to something that gets the user hooked before they trade up to something stronger. This may be what happens when Libra is launched. Facebook will do all the work of introducing the concept of a cryptocurrency to its huge user base, get them used to it, and then it’s a much smaller leap for those users to adopt Bitcoin. Here is an illustration of the process of buying Libra, provided by Facebook: All it would take is for one of the cryptocurrency exchanges to create a market that allows Libra to trade against Bitcoin and the average Facebook user has a way of buying Libra with their national currency and exchanging it for Bitcoin. Even if regulation doesn’t allow cryptocurrency exchanges to list Libra, it will undoubtedly end up on decentralised or peer-to-peer markets such as OpenBazaar, with individuals trading it directly between themselves. Is there a darker side to Libra? The post Is Libra crypto’s best gateway drug to date? appeared first on Coin Rivet."
"Market Morning: Swiss Bans Stocks from EU, Bitcoin Breaks Below $10K, USTR Wants More Tariffs"," Switzerland Bans Trading of Swiss Stocks in EU Switzerland is having a row with the European Union, so it decided to ban trading of its stocks on EU exchanges. These include Novartis (NASDAQ:NVS), Nestle (OTCMKTS:NSRGF), and Roche (OTCMKTS:RHHBY) among others. Europe said it would no longer recognize Swiss stock markets as having the same status as those of EU members, so Switzerland ordered the EU exchanges to stop trading Swiss stocks in retribution. CNN is extrapolating that this disagreement has implications for Brexit, but that’s a stretch, given that trading must continue if the European economy is to maintain any semblance of integration and the politicians that get into these sorts of fights want to keep their tax revenues flowing. Sooner or later, probably sooner, new agreements will have to be sketched out by necessity and trading continued. Otherwise, investors will find other ways to buy and sell securities and the political class will be blamed for any losses. SEE: FSD Pharma Gets License to Sell Cannabis for Medical Use Bitcoin Continues To Collapse Bitcoin (BTC-USD) may not be storing value very well, but it sure is providing a lot of opportunities for short term traders to both make and lose a lot of money.  Daily trading volume continues to trend to new record highs, hitting a record $44 billion a day this month as the cryptocurrency appeared to have topped out for a second time since 2017, this time at around $13,775. So far we are down 28.3% in six days, matching the pace of the crash following the high of $20,001.50 reached on December 17, 2017. Six days later back then, Bitcoin had fallen below $12,800 but recovered somewhat until mid January when it began another fall to $9,600. The decline in Bitcoin is leading the decline in other cryptocurrencies, with Bitcoin Cash (BCH-USD) and Ethereum (ETH-USD) down less than half of Bitcoin’s decline over the last 24 hours. The downward momentum could be feeding on itself while attracting short sellers into the futures markets, meaning a short term bounce may be due, as it was during the last sharp decline at around this time following the last top. This, in turn, could further encourage more short term traders into the market, pushing daily trading volume even higher. As Bitcoin trading volume hits new records, more are using Bitcoin trading software to spot sentiment changes in order to capitalize on price changes. CEO of CryptoMiner Solutions had this to say of the current volatility, “’Buy the fear, sell the greed’ is the name of the trading game. Our auto trading software reflects this daily.” Easier said than done, though successful traders do add to overall price stability by buying low and selling high. USTR Wants More Tariffs on European, Olives, Cheese, Whiskey, because Airplanes If you like to eat pizza with olives from Europe while drinking whiskey and not paying any tariffs, then you’re in for some bad news. The US Trade Representative’s office has released a list of products, including all of the above, that could be hit with taxes in addition to the $21 billion in taxes that were already announced in April. The fight has to do with subsidies for Boeing (NYSE:BA), an American company, and Airbus (OTCMKTS:EADSY), a Dutch company, who both get subsidies from their respective governments, paid for buy their respective taxpayers. So, in order to “level the playing field” each government is threatening to burden their taxpayers even more with more taxes on totally unrelated foods and alcoholic drinks and fruits grown and produced by companies that have absolutely nothing to do with airplanes whatsoever. Talk about getting caught in a crossfire. Speaking of Boeing, 737 Grounding Keeps Dragging On Southwest Airlines (NYSE:LUV) has thrown a monkey wrench in the engines of all 737s still grounded, though not literally, as it announced that it will remove all its 737s from its fleet until after October 1 at the earliest. Boeing had earlier estimated that the 737 fleet would be back in the air by September, so Boeing fell 2% on the news yesterday. Defending the move, Southwest CEO Gary Kelly told Fox, “Being proactive like this helps us reduce the last-minute cancellations and allows us to rebook our Customers well in advance, so that’s important that we continue to stay ahead of this.” Southwest has already removed 150 daily flights from its schedule. Hong Kongers Break Down Legislature Doors On the 12th anniversary of the handover of Hong Kong to Chinese rule, Hong Kong residents chose to celebrate by bashing in the doors of the legislature and defacing the portraits of politicians who make laws there on behalf of the Communist Party of China. A Union Jack colonial flag, the flag of Hong Kong before it was handed over to China, was draped over the desk of the legislature’s president, and slogans were spray-painted across the building. Hong Kong stocks remain resilient, perhaps rooting for the protesters to keep China’s authorities at bay and maintain whatever is left of liberty on the island. Interestingly, the Hong Kong dollar, pegged to the US dollar, is up half a percent against the US dollar since June 10, a big move for a pegged currency.   The post Market Morning: Swiss Bans Stocks from EU, Bitcoin Breaks Below $10K, USTR Wants More Tariffs appeared first on Market Exclusive."
The Crypto Daily – The Movers and Shakers 08/07/19," Bitcoin closed out the week in positive territory, resuming what has been a particularly bullish run since January. Year-to-date Bitcoin has seen just 8 weekly losses, 2 of which came in June. On Sunday, Bitcoin rose by 1.85%, following on from a 2.56% gain on Saturday, to end the day at $11,485. It was a relatively range-bound first half of the day. Bitcoin eased back to a mid-morning intraday low $11,110 before recovering to a late morning high $11,375. The late morning rally saw Bitcoin break through the 23.6% FIB of $11,275 that provided much-needed support through the morning. Falling back from $11,400 levels struck in the middle of the day, Bitcoin slipped through the 23.6% FIB to $11,150 levels before finding support. Bitcoin bounced back to a late intraday high $11,620 before easing back. In spite of the afternoon rally, Bitcoin came up short of the first major resistance level at $11,680.33. For the week, the weekend gains delivered a 6.34% rise for the week ending 7th July. Across the rest of the top 10 cryptos, it was green across the board for majors on Sunday. Leading the way on the day were Tron’s TRX and Ethereum, which saw gains of 8.94% and 6.52% respectively. EOS also outperformed Bitcoin on the day, rising by 3.28%. The rest of the pack saw more modest gains. Bitcoin Cash ABC (+1.79%), Ripple’s XRP (+1.81%), Binance Coin (+1.91%), and Bitcoin Cash SV (+1.96%) stood alongside Bitcoin on the day. Litecoin saw the most modest gain of the day, however, rising by 1.71%. For the week, Tron’s TRX led the way, rallying by 10.06% to cement its position in the number 10 spot by market cap. Bucking the trend in the week was Litecoin, which fell by 1.52%. Bitcoin’s dominance held onto 62% levels, having peaked at 63% levels on Thursday. At the time of writing, Bitcoin’s dominance stood at 62.1%. The total crypto market cap rose from $313.57bn to a high $337.76bn on Thursday before easing back to $330bn levels. At the time of writing, Bitcoin was down by 0.39% to $11,440. Moves at the start of the day saw Bitcoin fall from a morning high $11,547 to a low $11,413. Bitcoin steered clear of the major support and resistance levels early on. Elsewhere, Bitcoin Cash ABC and Tron’s TRX bucked the trend early, rising by 0.49% and by 0.29% respectively. The rest of the pack were in the red, with Bitcoin Cash SV leading the way down with a 1.47% loss. Bitcoin would need to hold onto $11,400 levels to make a move later in the day. A move through the morning high to $11,600 levels would bring the first major resistance level at $11,700 into play. Barring a broad-based crypto rally, Sunday’s high $11,620 and the first major resistance level will likely limit any upside. Failure to hold onto $11,400 levels could see Bitcoin slide through the 23.6% FIB of $11,275. A pullback to $11,200 levels would bring the first major support level at $11,190 into play before any recovery. Barring a crypto meltdown, Bitcoin should steer clear of sub-$11,000 support levels on the day. Get Into Cryptocurrency Trading Today This article was originally posted on FX Empire"
"Bitcoin may soon go parabolic over $12,000 again"," Bitcoin is once more looking bullish as the world’s biggest decentralised asset has found a new influx of buying support to rally close to 20% in price since the start of July. On a backdrop of global turmoils driven by a narrative of trade tensions, a breakout in the gold and commodities markets, and even US President Donald Trump calling out China and Europe specifically for currency manipulation, could this be the perfect storm for Bitcoin to break past resistance and head upwards to fresh 2019 highs? China and Europe playing big currency manipulation game and pumping money into their system in order to compete with USA. We should MATCH, or continue being the dummies who sit back and politely watch as other countries continue to play their games – as they have for many years! — Donald J. Trump (@realDonaldTrump) July 3, 2019  Long-time Bitcoin advocate Andreas Antonopoulos has reminded the community that governments may soon try and “blame crypto for the currency war”, but “the race to the bottom” for state-backed fiat currencies has little to do with the disruptive asset class. Towards the end of last week, Bitcoin continued to grind to defend its five-figure valuation. Unlike other downward price movements that we have seen of late, Bitcoin’s move down did not include any large-scale sell-offs, but instead a series of mini-dumps taking the price down from $12,000 to $10,000. Since this local bottom was hit, we have seen volumes pick up and buyers come back into the market to drive the price back up to the same level where the ‘controlled’ sell-off began. If Bitcoin can now penetrate through the $12,000-$12,400 level of resistance, the move back up to $14,000 and beyond may be quicker than its initial parabolic rise in late June. If the digitally-scarce asset does decide to rally up from this point, the odds of ever seeing an exchange-traded price of under $10,000 will decrease exponentially as fast as any potential move in the opposite direction. Bitcoin will become the global reserve currency. That is why we are all here.  Anything short of this becomes much less interesting. — Pomp 🌪 (@APompliano) July 4, 2019    The popular Bitcoin analyst Anthony “Pomp” Pompliano recently outlined his $100,000 Bitcoin target for the end of 2021, but the chances are that if we do see all-time highs broken sooner rather than later, a six-figure valuation for Bitcoin may become a reality quicker than even the most bullish commentators in the space would ever expect. For more news, guides, and cryptocurrency analysis, click here. The post Bitcoin may soon go parabolic over $12,000 again appeared first on Coin Rivet."
Singapore government proposes to exempt value-added tax on cryptocurrencies," The government of Singapore is planning to end goods and services tax (GST) (or value-added tax (VAT) as known in some countries) on cryptocurrencies that function or are intended to function as a medium of exchange.  The Inland Revenue Authority of Singapore (IRAS) published draft GST guidelines on Friday, stating that the supply of “digital payment tokens” in exchange for fiat currency or other digital payment tokens will be exempt from GST. Therefore, the supply of such tokens, being an exempt supply, “will not contribute to your annual taxable turnover for the determination of your liability for GST registration.” The proposal, if passes legislation, will become effective from January 1, 2020. The IRAS is currently seeking comments from cryptocurrency businesses, and they need to respond by July 26. The IRAS has defined digital payment tokens as having the following characteristics: “(a) it is expressed as a unit; (b) it is fungible; (c) it is not denominated in any currency, and is not pegged by its issuer to any currency; and (d) it is, or is intended to be, a medium of exchange accepted by the public, without any substantial restrictions on its uses as consideration.”  Bitcoin (BTC), ether (ETH), litecoin (LTC), dash (DASH), monero (XMR), Zcash (ZEC) and XRP are examples of digital payment tokens, the IRAS said. Notably, stablecoins do not qualify as digital payment tokens as per the definition by the authority. “A digital token pegged to US dollars will not qualify as a digital payment token but may instead fall under the list of financial services,” it said."
The Crypto Daily – The Movers and Shakers 05/07/19," Bitcoin led the way on Thursday, but this time for all the wrong reasons… Bitcoin tumbled by 6.85% on Thursday. Partially reversing Wednesday’s 10.09% rally to end the day at $11,162.5. A bearish start to the day saw Bitcoin fall from an early morning intraday high $12,065 to a late morning low $11,503. The moves through the morning saw Bitcoin leave the major support and resistance levels untested. Finding support through the afternoon, Bitcoin recovered to an afternoon high $11,922 before taking a hit in the final hour. The final hour sell-off saw Bitcoin slide through the 23.6% FIB of $11,275 and first major support level at $11,230.33. For Bitcoin, the only positive of the day was the avoidance of sub-$11,000 levels for the first time since 29th June. Across the rest of the top 10 cryptos, it was red for all but one of the top 10 cryptos on Thursday. Bucking the trend on the day was Binance Coin, which rose by 1.23%. It was deep red for the rest of the pack. Ethereum was close behind Bitcoin, sliding by 6.29%, with EOS (-5.62%) and Bitcoin Cash ABC (-5%) also seeing heavy losses. Things were not much better for Ripple’s XRP and Tron, which fell by 4.47% and 4.7% respectively. Bitcoin Cash SV and Litecoin saw more modest losses on the day. While Bitcoin Cash SV fell by 3.44%, Litecoin fell by just 1.8%. The Bitcoin sell-off on the day led to Bitcoin’s dominance pulling back to 62% levels. At the time of writing, Bitcoin’s dominance stood at 62.5% The total crypto market cap fell from a high $338.45bn to end the day at $319.29bn on Thursday, weighed by Bitcoin’s pullback. At the time of writing, Bitcoin was up by 0.35% to $11,201. Moves in the first hour saw Bitcoin rise from a morning low $11,005 to a high $11,287 before easing back. Whilst leaving the major support and resistance levels untested, Bitcoin broke through the 23.6% FIB of $11,257 before the pullback. Elsewhere, Bitcoin Cash ABC (+0.71%), EOS (+0.23%) and Ethereum (+0.25%) also found early support. Litecoin and Binance Coin struggled at the start, with losses of 0.56% and 0.6% respectively. Bitcoin would need to move back through the 23.6% FIB of $11,257 to $11,430 levels to support a reversal of Thursday’s losses. A move through to $11,500 levels would bring the first major resistance level at $11,800 into play. Bitcoin would need the support of the broader market, however, to break out from this morning’s high $11,287. In the event of a broad-based crypto rally, Bitcoin could touch $12,000 levels before any pullback. Failure to move back through the 23.6% FIB to $11,430 levels could see Bitcoin take another hit. A fall through the morning low $11,005 would bring the first major support level at $10,790 into play before any recovery. Barring a crypto meltdown, Bitcoin should steer well clear of the second major support level at $10,417.5 on the day. Get Into Cryptocurrency Trading Today This article was originally posted on FX Empire"
